unix,date,symbol,open,high,low,close,Volume USD,Volume BTC,is higher lower
1526371200,2018-05-15 09:00:00,BTC/USD,8739.0,8796.68,8660.53,8728.49,7986062.84,917.79,1
1526378400,2018-05-15 11:00:00,BTC/USD,8708.32,8865.0,8695.11,8795.9,11101273.74,1260.69,0
1526389200,2018-05-15 14:00:00,BTC/USD,8760.0,8821.19,8700.0,8759.23,6380081.87,730.67,0
1526392800,2018-05-15 15:00:00,BTC/USD,8759.23,8761.7,8467.42,8517.77,11484106.74,1341.75,1
1526400000,2018-05-15 17:00:00,BTC/USD,8520.3,8589.1,8477.89,8535.23,3298228.22,385.69,0
1526407200,2018-05-15 19:00:00,BTC/USD,8546.34,8579.48,8400.0,8526.65,7443239.63,877.26,0
1526414400,2018-05-15 21:00:00,BTC/USD,8555.6,8583.6,8451.05,8512.1,5192991.59,610.97,0
1526432400,2018-05-16 02:00:00,BTC/USD,8455.92,8557.51,8275.02,8326.28,8931481.69,1070.93,0
1526436000,2018-05-16 03:00:00,BTC/USD,8326.28,8339.81,8100.01,8133.43,13978603.77,1710.2,1
1526446800,2018-05-16 06:00:00,BTC/USD,8229.38,8252.72,8122.56,8220.4,5090356.15,620.93,0
1526457600,2018-05-16 09:00:00,BTC/USD,8232.99,8267.12,8176.91,8207.48,3710007.82,450.97,1
1526468400,2018-05-16 12:00:00,BTC/USD,8371.13,8455.66,8207.48,8373.0,2680259.87,319.29,0
1526475600,2018-05-16 14:00:00,BTC/USD,8365.08,8399.1,8145.1,8179.99,8614269.8,1046.38,1
1526486400,2018-05-16 17:00:00,BTC/USD,8285.8,8377.29,8173.6,8273.4,2665411.47,322.53,1
1526493600,2018-05-16 19:00:00,BTC/USD,8297.4,8350.0,8250.9,8279.89,1973143.22,237.21,1
1526511600,2018-05-17 00:00:00,BTC/USD,8277.25,8398.24,8232.14,8346.59,1784063.07,214.18,1
1526526000,2018-05-17 04:00:00,BTC/USD,8368.62,8500.0,8314.77,8366.72,6048203.82,718.98,0
1526540400,2018-05-17 08:00:00,BTC/USD,8344.16,8382.41,8191.14,8247.4,5919821.52,714.82,1
1526558400,2018-05-17 13:00:00,BTC/USD,8298.9,8335.56,8219.44,8269.47,7337732.27,886.82,0
1526576400,2018-05-17 18:00:00,BTC/USD,8276.43,8377.29,8232.14,8257.69,2107306.11,255.27,0
1526594400,2018-05-17 23:00:00,BTC/USD,8155.41,8274.83,7980.0,8080.0,8543296.28,1061.54,0
